Name,ClassId
image_2023-01-08 12.06.56.785890.png,32
image_2023-01-08 12.07.18.927072.png,12
image_2023-01-08 12.07.22.767140.png,11
image_2023-01-08 12.07.28.925809.png,16
image_2023-01-08 12.07.32.693536.png,16
image_2023-01-08 12.07.42.910285.png,20
image_2023-01-08 12.09.02.630268.png,12
image_2023-01-08 12.09.07.134829.png,16
image_2023-01-08 12.09.31.645769.png,12
image_2023-01-08 12.09.45.789551.png,16
image_2023-01-08 12.09.58.861791.png,0
image_2023-01-08 12.10.02.260733.png,12
image_2023-01-08 12.10.09.501917.png,14
image_2023-01-08 12.10.24.069405.png,14
image_2023-01-08 12.10.34.614756.png,14
image_2023-01-08 12.10.44.637676.png,16
image_2023-01-08 12.17.12.454428.png,45
image_2023-01-08 12.17.31.237748.png,15
image_2023-01-08 12.17.56.149830.png,52
image_2023-01-08 12.18.22.445878.png,18
image_2023-01-08 12.18.39.119090.png,66
image_2023-01-08 12.20.16.607092.png,146
image_2023-01-08 12.23.22.544962.png,0
image_2023-01-08 12.23.25.921302.png,0
image_2023-01-08 12.23.28.046280.png,25
image_2023-01-08 12.24.11.471582.png,5
image_2023-01-08 12.24.16.710550.png,0
image_2023-01-08 12.24.18.918521.png,0
image_2023-01-08 12.24.21.117790.png,0
image_2023-01-08 12.24.23.006481.png,31
image_2023-01-08 12.24.58.254175.png,15
image_2023-01-08 12.25.18.793537.png,5
image_2023-01-08 12.25.23.079730.png,0
