,name,id
0,Dataset 1_150_150_RGB_image_0.png,135
1,Dataset 1_150_150_RGB_image_1.png,4
2,Dataset 1_150_150_RGB_image_2.png,66
3,Dataset 1_150_150_RGB_image_3.png,10
4,Dataset 1_150_150_RGB_image_4.png,66
5,Dataset 1_150_150_RGB_image_5.png,0
6,Dataset 1_150_150_RGB_image_6.png,0
7,Dataset 1_150_150_RGB_image_7.png,32
8,Dataset 1_150_150_RGB_image_8.png,16
9,Dataset 1_150_150_RGB_image_9.png,33
10,Dataset 1_150_150_RGB_image_10.png,32
11,Dataset 1_150_150_RGB_image_11.png,3
12,Dataset 1_150_150_RGB_image_12.png,48
13,Dataset 1_150_150_RGB_image_13.png,30
14,Dataset 1_150_150_RGB_image_14.png,26
15,Dataset 1_150_150_RGB_image_15.png,0
16,Dataset 1_150_150_RGB_image_16.png,0
17,Dataset 1_150_150_RGB_image_17.png,10
18,Dataset 1_150_150_RGB_image_18.png,12
19,Dataset 1_150_150_RGB_image_19.png,4
20,Dataset 1_150_150_RGB_image_20.png,5
21,Dataset 1_150_150_RGB_image_21.png,25
22,Dataset 1_150_150_RGB_image_22.png,39
23,Dataset 1_150_150_RGB_image_23.png,36
24,Dataset 1_150_150_RGB_image_24.png,20
25,Dataset 1_150_150_RGB_image_25.png,0
26,Dataset 1_150_150_RGB_image_26.png,0
27,Dataset 1_150_150_RGB_image_27.png,32
28,Dataset 1_150_150_RGB_image_28.png,30
29,Dataset 1_150_150_RGB_image_29.png,17
30,Dataset 1_150_150_RGB_image_30.png,41
31,Dataset 1_150_150_RGB_image_31.png,51
32,Dataset 1_150_150_RGB_image_32.png,0
33,Dataset 1_150_150_RGB_image_33.png,0
34,Dataset 1_150_150_RGB_image_34.png,0
35,Dataset 1_150_150_RGB_image_35.png,0
36,Dataset 1_150_150_RGB_image_36.png,0
37,Dataset 1_150_150_RGB_image_37.png,0
38,Dataset 1_150_150_RGB_image_38.png,3
39,Dataset 1_150_150_RGB_image_39.png,12
40,Dataset 1_150_150_RGB_image_40.png,30
41,Dataset 1_150_150_RGB_image_41.png,14
42,Dataset 1_150_150_RGB_image_42.png,18
43,Dataset 1_150_150_RGB_image_43.png,24
44,Dataset 1_150_150_RGB_image_44.png,22
45,Dataset 1_150_150_RGB_image_45.png,29
46,Dataset 1_150_150_RGB_image_46.png,29
47,Dataset 1_150_150_RGB_image_47.png,28
48,Dataset 1_150_150_RGB_image_48.png,37
49,Dataset 1_150_150_RGB_image_49.png,36
50,Dataset 1_150_150_RGB_image_50.png,36
51,Dataset 1_150_150_RGB_image_51.png,38
52,Dataset 1_150_150_RGB_image_52.png,20
53,Dataset 1_150_150_RGB_image_53.png,38
54,Dataset 1_150_150_RGB_image_54.png,60
