,name,id
0,Dataset 2_150_150_L_image_0.png,25
1,Dataset 2_150_150_L_image_1.png,37
2,Dataset 2_150_150_L_image_2.png,16
3,Dataset 2_150_150_L_image_3.png,20
4,Dataset 2_150_150_L_image_4.png,23
5,Dataset 2_150_150_L_image_5.png,27
6,Dataset 2_150_150_L_image_6.png,18
7,Dataset 2_150_150_L_image_7.png,18
8,Dataset 2_150_150_L_image_8.png,12
9,Dataset 2_150_150_L_image_9.png,40
10,Dataset 2_150_150_L_image_10.png,8
11,Dataset 2_150_150_L_image_11.png,18
12,Dataset 2_150_150_L_image_12.png,0
13,Dataset 2_150_150_L_image_13.png,32
14,Dataset 2_150_150_L_image_14.png,28
15,Dataset 2_150_150_L_image_15.png,48
16,Dataset 2_150_150_L_image_16.png,32
17,Dataset 2_150_150_L_image_17.png,5
18,Dataset 2_150_150_L_image_18.png,8
19,Dataset 2_150_150_L_image_19.png,16
20,Dataset 2_150_150_L_image_20.png,0
21,Dataset 2_150_150_L_image_21.png,8
22,Dataset 2_150_150_L_image_22.png,22
23,Dataset 2_150_150_L_image_23.png,16
24,Dataset 2_150_150_L_image_24.png,20
25,Dataset 2_150_150_L_image_25.png,16
