Name,ClassId
image_2023-01-07 11.43.09.464565.png,25
image_2023-01-07 11.45.15.357059.png,37
image_2023-01-07 11.45.56.515920.png,16
image_2023-01-07 11.46.22.056930.png,20
image_2023-01-07 11.40.35.760481.png,23
image_2023-01-07 11.41.42.163150.png,27
image_2023-01-07 11.36.53.426489.png,18
image_2023-01-07 11.37.06.468673.png,18
image_2023-01-07 11.37.16.835025.png,12
image_2023-01-07 11.37.20.291053.png,40
image_2023-01-07 11.39.47.634722.png,8
image_2023-01-07 11.40.05.474247.png,18
image_2023-01-07 11.36.28.734383.png,0
image_2023-01-07 11.31.05.597302.png,32
image_2023-01-07 11.31.27.245965.png,28
image_2023-01-07 11.32.04.709710.png,48
image_2023-01-07 11.33.06.041739.png,32
image_2023-01-07 11.33.26.697688.png,5
image_2023-01-07 11.33.31.131118.png,8
image_2023-01-07 11.33.37.730250.png,16
image_2023-01-07 11.27.24.845338.png,0
image_2023-01-07 11.27.35.272322.png,8
image_2023-01-07 11.28.05.860089.png,22
image_2023-01-07 11.28.42.058179.png,16
image_2023-01-07 11.29.06.269108.png,20
image_2023-01-07 11.29.17.916637.png,16
