Name,ClassId
image_2023-01-08 09.18.59.957435.png,20
image_2023-01-08 09.19.36.050426.png,13
image_2023-01-08 09.19.51.350618.png,14
image_2023-01-08 09.20.01.315504.png,0
image_2023-01-08 09.20.03.892443.png,0
image_2023-01-08 09.20.11.398163.png,3
image_2023-01-08 09.20.14.541298.png,30
image_2023-01-08 09.20.41.453240.png,16
image_2023-01-08 09.20.49.337077.png,10
image_2023-01-08 09.20.55.692058.png,0
image_2023-01-08 09.20.58.290861.png,24
image_2023-01-08 09.21.37.177579.png,8
image_2023-01-08 09.21.45.052022.png,16
image_2023-01-08 09.21.52.768920.png,24
image_2023-01-08 09.22.10.899813.png,0
image_2023-01-08 09.22.13.308009.png,12
image_2023-01-08 09.22.20.554337.png,36
image_2023-01-08 09.22.56.787544.png,16
image_2023-01-08 09.23.05.052089.png,8
image_2023-01-08 09.23.09.939956.png,0
image_2023-01-08 09.23.12.251483.png,12
image_2023-01-08 09.23.18.938333.png,10
image_2023-01-08 09.23.22.875513.png,9
image_2023-01-08 09.23.26.627733.png,16
image_2023-01-08 09.23.38.714852.png,18
image_2023-01-08 09.23.46.685226.png,16
image_2023-01-08 09.24.00.275293.png,16
image_2023-01-08 09.24.26.555825.png,0
image_2023-01-08 09.24.30.546198.png,10
image_2023-01-08 09.24.40.487246.png,13
image_2023-01-08 09.25.00.691001.png,12
image_2023-01-08 09.13.10.885530.png,15
