,name,id
0,Dataset 3_150_150_L_image_0.png,20
1,Dataset 3_150_150_L_image_1.png,13
2,Dataset 3_150_150_L_image_2.png,14
3,Dataset 3_150_150_L_image_3.png,0
4,Dataset 3_150_150_L_image_4.png,0
5,Dataset 3_150_150_L_image_5.png,3
6,Dataset 3_150_150_L_image_6.png,30
7,Dataset 3_150_150_L_image_7.png,16
8,Dataset 3_150_150_L_image_8.png,10
9,Dataset 3_150_150_L_image_9.png,0
10,Dataset 3_150_150_L_image_10.png,24
11,Dataset 3_150_150_L_image_11.png,8
12,Dataset 3_150_150_L_image_12.png,16
13,Dataset 3_150_150_L_image_13.png,24
14,Dataset 3_150_150_L_image_14.png,0
15,Dataset 3_150_150_L_image_15.png,12
16,Dataset 3_150_150_L_image_16.png,36
17,Dataset 3_150_150_L_image_17.png,16
18,Dataset 3_150_150_L_image_18.png,8
19,Dataset 3_150_150_L_image_19.png,0
20,Dataset 3_150_150_L_image_20.png,12
21,Dataset 3_150_150_L_image_21.png,10
22,Dataset 3_150_150_L_image_22.png,9
23,Dataset 3_150_150_L_image_23.png,16
24,Dataset 3_150_150_L_image_24.png,18
25,Dataset 3_150_150_L_image_25.png,16
26,Dataset 3_150_150_L_image_26.png,16
27,Dataset 3_150_150_L_image_27.png,0
28,Dataset 3_150_150_L_image_28.png,10
29,Dataset 3_150_150_L_image_29.png,13
30,Dataset 3_150_150_L_image_30.png,12
31,Dataset 3_150_150_L_image_31.png,15
