Name,ClassId
image_2023-01-09 10.28.55.768165.png,13
image_2023-01-09 10.29.13.981699.png,0
image_2023-01-09 10.29.19.898022.png,8
image_2023-01-09 10.29.32.753025.png,0
image_2023-01-09 10.29.35.400766.png,0
image_2023-01-09 10.29.40.397229.png,16
image_2023-01-09 10.29.50.092367.png,24
image_2023-01-09 10.30.14.036682.png,18
image_2023-01-09 10.30.35.601074.png,4
image_2023-01-09 10.30.39.282312.png,20
image_2023-01-09 10.31.01.925669.png,9
image_2023-01-09 10.31.14.269184.png,4
image_2023-01-09 10.31.21.980129.png,30
image_2023-01-09 10.31.38.136677.png,22
image_2023-01-09 10.32.09.663021.png,17
image_2023-01-09 10.32.22.614931.png,12
image_2023-01-09 10.32.39.412102.png,31
image_2023-01-09 10.46.44.744342.png,16
image_2023-01-09 10.46.59.887954.png,16
image_2023-01-09 10.47.12.511096.png,35
image_2023-01-09 10.47.55.638308.png,34
image_2023-01-09 10.49.25.041124.png,15
image_2023-01-09 10.49.33.359045.png,31
image_2023-01-09 10.50.17.453188.png,17
image_2023-01-09 10.50.28.362824.png,32
image_2023-01-09 10.50.49.541193.png,39
image_2023-01-09 10.51.14.253648.png,18
image_2023-01-09 10.51.43.586131.png,13
image_2023-01-09 10.52.43.765812.png,15
image_2023-01-09 10.52.49.471510.png,10
image_2023-01-09 10.53.01.636723.png,22
image_2023-01-09 10.53.14.585559.png,13
image_2023-01-09 10.53.25.167392.png,12
image_2023-01-09 10.53.31.153430.png,27
image_2023-01-09 10.54.04.716311.png,23
image_2023-01-09 10.55.02.490294.png,13
image_2023-01-09 10.55.21.061152.png,22
image_2023-01-09 10.27.01.777718.png,12
image_2023-01-09 10.26.41.026399.png,6
image_2023-01-09 10.24.54.914583.png,12
