,name,id
0,Dataset 6_150_150_RGB_image_0.png,13
1,Dataset 6_150_150_RGB_image_1.png,0
2,Dataset 6_150_150_RGB_image_2.png,8
3,Dataset 6_150_150_RGB_image_3.png,0
4,Dataset 6_150_150_RGB_image_4.png,0
5,Dataset 6_150_150_RGB_image_5.png,16
6,Dataset 6_150_150_RGB_image_6.png,24
7,Dataset 6_150_150_RGB_image_7.png,18
8,Dataset 6_150_150_RGB_image_8.png,4
9,Dataset 6_150_150_RGB_image_9.png,20
10,Dataset 6_150_150_RGB_image_10.png,9
11,Dataset 6_150_150_RGB_image_11.png,4
12,Dataset 6_150_150_RGB_image_12.png,30
13,Dataset 6_150_150_RGB_image_13.png,22
14,Dataset 6_150_150_RGB_image_14.png,17
15,Dataset 6_150_150_RGB_image_15.png,12
16,Dataset 6_150_150_RGB_image_16.png,31
17,Dataset 6_150_150_RGB_image_17.png,16
18,Dataset 6_150_150_RGB_image_18.png,16
19,Dataset 6_150_150_RGB_image_19.png,35
20,Dataset 6_150_150_RGB_image_20.png,34
21,Dataset 6_150_150_RGB_image_21.png,15
22,Dataset 6_150_150_RGB_image_22.png,31
23,Dataset 6_150_150_RGB_image_23.png,17
24,Dataset 6_150_150_RGB_image_24.png,32
25,Dataset 6_150_150_RGB_image_25.png,39
26,Dataset 6_150_150_RGB_image_26.png,18
27,Dataset 6_150_150_RGB_image_27.png,13
28,Dataset 6_150_150_RGB_image_28.png,15
29,Dataset 6_150_150_RGB_image_29.png,10
30,Dataset 6_150_150_RGB_image_30.png,22
31,Dataset 6_150_150_RGB_image_31.png,13
32,Dataset 6_150_150_RGB_image_32.png,12
33,Dataset 6_150_150_RGB_image_33.png,27
34,Dataset 6_150_150_RGB_image_34.png,23
35,Dataset 6_150_150_RGB_image_35.png,13
36,Dataset 6_150_150_RGB_image_36.png,22
37,Dataset 6_150_150_RGB_image_37.png,12
38,Dataset 6_150_150_RGB_image_38.png,6
39,Dataset 6_150_150_RGB_image_39.png,12
